0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2842710347284,1.28433069790313,1.28447705265719,1.28465895896884,1.28482627667831,1.28493643933587,1.28496199561005,1.28489656005045,1.28475635055344,1.28457647861053,1.28440392415028,1.28429016612228,1.28428541721603,1.28443490655856,1.28477681765506,1.2853413442196,1.28615047756748,1.28721830580213,1.28855169557258,1.29015125116994,1.29201244065079,1.29412677526368,1.29648294037605,1.29906780235815,1.30186718520781,1.30486681468992,1.30805233066475,1.31140997283088,1.31492670419957,1.31859033445084,1.32238957481142,1.32631404492103,1.33035424780888,1.33450152504789,1.33874800078345,1.34308652068709,1.34751058989184,1.35201431250916,1.35659233429765,1.36123978933969,1.3659522511037,1.3707256879577,1.37555642300512,1.38044109799944,1.38537664103393,1.39036023767842,1.39536684781933,1.40041752460212,1.40551002103319,1.41064226433151,1.4158123394806,1.42101847455737,1.42625902757537,1.43153247470379,1.43683739969156,1.44217248439199,1.44753650022341,1.45292830050871,1.45834681356316,1.46379103646722,1.46926002943522,1.47475291073247,1.48026885207074,1.48580707443165,1.49136684428448,1.4969474701333,1.50254829938416,1.50816871549442,1.51380813536015,1.51946600694062,1.52514180707696,1.53083503949253,1.53654523297205,1.5422719396736,1.54801473359271,1.55377320913319,1.55954697979827,1.56533567699428,1.57113894890286,1.57695645945463,1.58278788737908,1.58863292531208,1.59449127898911,1.60036266647165,1.60624681745605,1.61214347259808,1.61805238292099,1.62397330922718,1.62990602158355,1.63585029882108,1.6418059280686,1.64777270431274,1.65375043000736,1.65973891469537,1.66573797463716,1.67174743248839,1.67776711698668,1.68379686266084,1.68983650953986,1.69588590291468,1.70194489307726,1.70801333509705,1.7140910886028,1.72017801757707,1.72627399016578,1.73237887849143,1.73849255848481,1.74461490971943,1.75074581525593,1.75688516149981,1.76303283806196,1.76918873762649,1.77535275582911,1.78152479112801,1.78770474471116,1.79389252037485,1.80008802442731,1.80629116559224,1.81250185491905,1.81872000569475,1.82494553335802,1.83117835542836,1.8374183914163,1.84366556277156,1.84991979279975,1.85618100659591,1.86244913099654,1.8687240945087,1.87500582724985,1.88129426090475,1.88758932866809,1.89389096519081,1.90019910653562,1.90651369013715,1.91283465474905,1.91916194040309,1.92549548838166,1.93183524116297,1.93818114239276,1.94453313684115,1.95089117038111,1.9572551899475,1.96362514351084,1.97000098003686,1.97638264947003,1.9827701027017,1.98916329153867,1.99556216868379,2.00196668770387,2.00837680301479,2.01479246985227
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.42793373241492,6.42621140486231,6.42529734716265,6.42493923644131,6.42489053145257,6.42494281394469,6.42496219311595,6.42491772298962,6.42488869944965,6.42504698053451,6.42562329933278,6.42687144031425,6.42903954258406,6.43235087893855,6.43699254760481,6.44310977225294,6.45080413242174,6.4601347433011,6.47112174521722,6.48375150432541,6.49798285760778,6.51375370995253,6.53098736943651,6.54959817150628,6.5694959020841,6.59059057979094,6.61279306259952,6.63601839609412,6.66018649799008,6.6852227513243,6.711058220568,6.73762960758124,6.7648790385322,6.79275374930361,6.82120571750083,6.85019127407629,6.879670716305,6.90960793570678,6.93997006879282,6.97072717462042,7.00185194056129,7.0333194160431,7.06510677303065,7.09719309145428,7.12955916753054,7.16218734284218,7.19491466929942,7.22787958538576,7.26106778185409,7.29446600690655,7.3280619727075,7.3618442678573,7.39580227889608,7.42992612000664,7.46420656987771,7.49863501510877,7.53320339915051,7.56790417646208,7.6027302710881,7.6376750392897,7.67273223569354,7.70789598268531,7.74316074262895,7.77852129261297,7.81397270153274,7.84951030911249,7.8851297068266,7.92082672049298,7.95659739427157,7.99243797607584,8.0283449041322,8.06431479462071,8.10034443038465,8.13643075042671,8.17257084031889,8.20876192324628,8.24500135177458,8.28128660029667,8.3176152578853,8.35398502176214,8.3903936912277,8.42683916193747,8.46331942070337,8.49983254049256,8.53637667593436,8.57295005891922,8.60955099471413,8.64617785809777,8.68282908995234,8.71950319394309,8.75619873341074,8.79291432842771,8.82964865316198,8.86640043331976,8.90316844363311,8.93995150565481,8.97674848561165,9.01355829240088,9.0503798755899,9.08721222374349,9.12405436261769,9.16090535358678,9.19776429210849,9.23463030627121,9.27150255543852,9.30838022892095,9.34526254476535,9.38214874856608,9.41903811234175,9.45592993349736,9.49282353380915,9.52971825845768,9.56661347512989,9.60350857308127,9.64040296242069,9.6772960732281,9.71418735482708,9.75107627506087,9.78796231961365,9.82484499134523,9.86172380964353,9.8985983098708,9.93546804270122,9.97233257368734,10.0091914826446,10.0460443631388,10.0828908220864,10.1197304792228,10.1565629666386,10.1933879284175,10.2302050201958,10.2670139087446,10.3038142716109,10.340605796787,10.3773881823079,10.4141611359205,10.450924374834,10.4876776253139,10.5244206224327,10.5611531097369,10.5978748390409,10.6345855701118,10.6712850704404,10.7079731149327,10.7446494857422,10.7813139720142,10.8179663696356,10.8546064810551,10.8912341150322,10.9278490864866,10.9644512162671
1.2842710347284,1.28433069790313,1.28447705265719,1.28465895896884,1.28482627667831,1.28493643933587,1.28496199561005,1.28489656005045,1.28475635055344,1.28457647861053,1.28440392415028,1.28429016612228,1.28428541721603,1.28443490655856,1.28477681765506,1.2853413442196,1.28615047756748,1.28721830580213,1.28855169557258,1.29015125116994,1.29201244065079,1.29412677526368,1.29648294037605,1.29906780235815,1.30186718520781,1.30486681468992,1.30805233066475,1.31140997283088,1.31492670419957,1.31859033445084,1.32238957481142,1.32631404492103,1.33035424780888,1.33450152504789,1.33874800078345,1.34308652068709,1.34751058989184,1.35201431250916,1.35659233429765,1.36123978933969,1.3659522511037,1.3707256879577,1.37555642300512,1.38044109799944,1.38537664103393,1.39036023767842,1.39536684781933,1.40041752460212,1.40551002103319,1.41064226433151,1.4158123394806,1.42101847455737,1.42625902757537,1.43153247470379,1.43683739969156,1.44217248439199,1.44753650022341,1.45292830050871,1.45834681356316,1.46379103646722,1.46926002943522,1.47475291073247,1.48026885207074,1.48580707443165,1.49136684428448,1.4969474701333,1.50254829938416,1.50816871549442,1.51380813536015,1.51946600694062,1.52514180707696,1.53083503949253,1.53654523297205,1.5422719396736,1.54801473359271,1.55377320913319,1.55954697979827,1.56533567699428,1.57113894890286,1.57695645945463,1.58278788737908,1.58863292531208,1.59449127898911,1.60036266647165,1.60624681745605,1.61214347259808,1.61805238292099,1.62397330922718,1.62990602158355,1.63585029882108,1.6418059280686,1.64777270431274,1.65375043000736,1.65973891469537,1.66573797463716,1.67174743248839,1.67776711698668,1.68379686266084,1.68983650953986,1.69588590291468,1.70194489307726,1.70801333509705,1.7140910886028,1.72017801757707,1.72627399016578,1.73237887849143,1.73849255848481,1.74461490971943,1.75074581525593,1.75688516149981,1.76303283806196,1.76918873762649,1.77535275582911,1.78152479112801,1.78770474471116,1.79389252037485,1.80008802442731,1.80629116559224,1.81250185491905,1.81872000569475,1.82494553335802,1.83117835542836,1.8374183914163,1.84366556277156,1.84991979279975,1.85618100659591,1.86244913099654,1.8687240945087,1.87500582724985,1.88129426090475,1.88758932866809,1.89389096519081,1.90019910653562,1.90651369013715,1.91283465474905,1.91916194040309,1.92549548838166,1.93183524116297,1.93818114239276,1.94453313684115,1.95089117038111,1.9572551899475,1.96362514351084,1.97000098003686,1.97638264947003,1.9827701027017,1.98916329153867,1.99556216868379,2.00196668770387,2.00837680301479,2.01479246985227
1.38424546990018,1.36547559287598,1.34752783102196,1.33059229765002,1.3150206409514,1.30208778925426,1.29792990043155,1.30734433708484,1.32176442222763,1.3380295406874,1.3554575384748,1.37381672449356,1.39293563514791,1.41274891158462,1.43309181259036,1.45394456325796,1.47519217439061,1.49672260588146,1.51845402807392,1.54030843827347,1.56225723939962,1.58421512152527,1.60610361226375,1.62787527049997,1.64949157679865,1.67092168203051,1.69214216280848,1.71313575574624,1.73389040271921,1.754398330265,1.77465522714708,1.79465953318322,1.81441183911524,1.83391438961906,1.85317067780272,1.87218511832952,1.89096278659382,1.90950921246956,1.9278302185791,1.94593179453179,1.96382000000325,1.98150089079518,1.99898046311318,2.0162646122197,2.03335910238191,2.05026954565594,2.06692738770974,2.08341774807666,2.09974514346353,2.11591396881257,2.1319284964535,2.14779287082382,2.16351110554078,2.17908708237957,2.194524551667,2.20982713383416,2.22500463395195,2.24005620479429,2.25498272260097,2.26978732704114,2.28447304378712,2.29904278854538,2.31349937112781,2.32784549951355,2.34208378389302,2.35621674059947,2.37024679597474,2.38417629013538,2.39800748058798,2.41174254574693,2.42538358829775,2.43893263842358,2.45239165692889,2.46576253818977,2.47904711301231,2.4922471513251,2.50536436476821,2.51840040918686,2.53135688695506,2.5442353492277,2.55703729808455,2.56976418854468,2.58241743053128,2.59499839068771,2.60750839416772,2.61994872626906,2.63232063406893,2.64462532790284,2.65686398284583,2.66903774008085,2.68114770820587,2.69319496447203,2.70518055600744,2.71710550095781,2.72897078954098,2.7407773851063,2.75252622512355,2.76421822213414,2.77585426462518,2.78743521793399,2.79896192504081,2.81043520737012,2.82185586554246,2.83322468009401,2.84454241217211,2.8558098041877,2.8670275804557,2.87819644779624,2.8893170961129,2.90039019895597,2.91141641405397,2.92239638382331,2.93333073586398,2.94422008341098,2.95506502582056,2.96586614897775,2.97662402572181,2.98733921624621,2.99801226848672,3.00864371848968,3.01923409076266,3.02978389863088,3.04029364454182,3.05076382041593,3.06119490792677,3.07158737879313,3.08194169508597,3.09225830948218,3.10253766552215,3.11278019788151,3.12298633260652,3.13315648734306,3.14329107156897,3.15339048682215,3.16345512689711,3.17348537805048,3.18348161921776,3.19344422217734,3.20337355174764,3.21326996595203,3.22313381620932,3.23296544748588,3.24276519846315,3.25253340167575,3.2622703836797,3.27197646518991,3.28165196121208,3.29129718118672,3.30091242910773,3.31049800366141,3.32005419833798
1.06802067448517,1.06746169622056,1.06681226169197,1.06608528240994,1.06530908181097,1.06457876520394,1.06432638888699,1.06488540342072,1.06565855060061,1.06641891631912,1.06711382511304,1.06772451904881,1.06824132290072,1.06866188330349,1.06898487690372,1.06921407772987,1.06935340887212,1.06940867763003,1.06938694646181,1.06929579886866,1.0691426541676,1.06893512083519,1.06868075740642,1.06838651281457,1.06805874237227,1.06770316553382,1.06732484777335,1.06692822579501,1.0665171480664,1.06609492669534,1.06566439381903,1.06522795811533,1.06478765865931,1.06434521455009,1.06390206957415,1.06345943172591,1.06301830774831,1.06257953304905,1.0621437974407,1.06171166718177,1.06128360378623,1.06085998003737,1.06044109360075,1.06002717858528,1.05961841535746,1.05921493887177,1.0588186035864,1.05842756480849,1.05804187244048,1.05766155254549,1.05728661093716,1.05691703640052,1.05655280344677,1.05619387466808,1.05584020275248,1.05549173220611,1.05514825843371,1.05480981103134,1.05447637174497,1.0541478648128,1.05382421181668,1.05350533235736,1.05319114463051,1.05288156591764,1.05257651300285,1.05227590252741,1.05197965128921,1.0516876764951,1.05139989597346,1.05111622835133,1.05083659320187,1.05056091116606,1.05028910405145,1.0500210949124,1.04975680811312,1.04949616937717,1.04923910582425,1.04898554599614,1.04873541987461,1.04848865889088,1.04824519592856,1.04800496532153,1.04776790284617,1.04753394571067,1.0473030325398,1.04707510335824,1.04685009957004,1.04662796393778,1.04640864055866,1.04619207484035,1.04597821347568,1.04576700441685,1.04555839684826,1.04535234115955,1.04514878891903,1.044947692846,1.0447490067837,1.04455268567208,1.04435868552152,1.04416696338557,1.04397747733526,1.0437901864331,1.0436050507077,1.04342203112885,1.04324108958297,1.0430621888493,1.04288529257629,1.04271036525876,1.04253737221554,1.04236627956751,1.04219705421628,1.04202966382343,1.04186407679022,1.04170026223809,1.04153818998897,1.04137783054702,1.04121915508024,1.04106213540289,1.04090674395816,1.04075295380156,1.04060073858471,1.04045007253937,1.04030093046245,1.04015328770065,1.04000712013635,1.03986240417357,1.03971911672401,1.03957723519405,1.03943673747196,1.03929760191516,1.0391598073382,1.03902333300113,1.03888815859789,1.03875426424519,1.0386216304719,1.03849023820854,1.03836006877692,1.03823110388054,1.03810332559492,1.03797671635841,1.03785125896293,1.03772693654535,1.03760373257893,1.03748163086519,1.0373606155257,1.03724067099431,1.03712178200973,1.03700393360797,1.03688711111542,1.03677130014168,1.03665648657297
5.40625900608076,5.4217250420644,5.44161977413047,5.4643419139725,5.48792987168353,5.50894185329823,5.51589016807646,5.5002789157431,5.47744499882075,5.45393905728513,5.43225247593104,5.41414117683678,5.40110235788282,5.39432558137683,5.39479851878348,5.40318166224325,5.41992671738414,5.44524070430247,5.47911872776942,5.5213863075321,5.57174466207979,5.62979136071245,5.69505457424077,5.76703223858947,5.84521107088715,5.92909122890133,6.01818707228386,6.11204367589746,6.21023890332984,6.31238519388716,6.41812952480967,6.52715217014228,6.63916472873916,6.75390776244579,6.87114828023221,6.99067722402964,7.11230705358808,7.23586948650228,7.36121342142362,7.48820305394779,7.61671618293679,7.74664269800814,7.87788323510926,8.0103479853536,8.14395564191128,8.27863247016647,8.41370610582333,8.54974899484085,8.68670371481766,8.82451779465016,8.96314321358599,9.10253595392108,9.24265560321515,9.38346500089252,9.52492992347702,9.66701880464709,9.8097060447426,9.95296223693425,10.0967610454549,10.2410792913604,10.3858954404634,10.5311894593778,10.6769426860056,10.8231377128503,10.9697582820409,11.1167891901473,11.2642162023737,11.4120259749832,11.560205984667,11.7087444647322,11.8576303468773,12.0068532081617,12.156403223015,12.30627111903,12.4564481369896,12.6069259939007,12.7576968493506,12.9087532749536,13.0600882257064,13.2116950140937,13.363567286263,13.5156989997637,13.6680844035735,13.8207180190244,13.9735946229062,14.126709230996,14.2800570837736,14.433633632235,14.5874345256222,14.7414555995184,14.8956928648231,15.0501424973973,15.2048008289775,15.3596643383954,15.5147296429532,15.6699934910596,15.8254527550745,15.981104424719,16.1369456004585,16.2929734882278,16.4491853935501,16.6055787165986,16.7621509473775,16.9188996612055,17.0758225145702,17.2329172410533,17.390181647713,17.5476136115167,17.7052110760098,17.8629720483073,18.020894596142,18.1789768450764,18.3372169759723,18.4956132222481,18.6541638680548,18.8128672456958,18.9717217336767,19.1307257547337,19.2898777740222,19.4491762973298,19.6086198693325,19.7682070722247,19.9279365238464,20.0878068767728,20.2478168165849,20.4079650605584,20.5682503568131,20.7286714828661,20.8892272444472,21.0499164747398,21.2107380332472,21.3716908047421,21.5327736984435,21.6939856472991,21.8553256069287,22.0167925548637,22.1783854901187,22.3401034320608,22.5019454199459,22.6639105120685,22.8259977854547,22.9882063350538,23.150535273298,23.3129837292917,23.4755508486082,23.6382357926847,23.8010377382235,23.9639558768955,24.1269894147112,24.2901375718277,24.4533995819825
1.20979837603105,1.21321953828566,1.21726738405795,1.22159448669408,1.22580086217458,1.22929445850604,1.23039195274366,1.22788482540774,1.22396680280632,1.21964792107526,1.21539658545477,1.21158514214686,1.20854175410019,1.20653366575518,1.20577828052571,1.2064234196496,1.2085656254986,1.21224689983561,1.21746238413853,1.22416987613539,1.23229985050345,1.24176159717814,1.25245098985149,1.26425846752535,1.27707330637634,1.29078913308162,1.30530359827887,1.32052199180866,1.33635746858259,1.35273126935282,1.36957256321726,1.3868180495763,1.40441142227214,1.42230276855663,1.44044795192164,1.45880801019865,1.4773485876883,1.49603941133541,1.51485381512151,1.53376831310121,1.55276221922652,1.57181731081736,1.59091753191374,1.6100487325433,1.62919843999973,1.648355658439,1.66742554207049,1.68648987065922,1.7055407359404,1.72457115499774,1.74357496311867,1.76254672149369,1.78148163583767,1.80037548467527,1.81922455602351,1.83802559153109,1.85677618775376,1.87547353836098,1.89411530076621,1.91269959156959,1.93122478407969,1.94968948117115,1.96809249111871,1.98643280605729,2.00470958279938,2.02292212565688,2.04106987111933,2.05915237415851,2.07716929592585,2.0951203927612,2.11300550630369,2.13082455460633,2.1485775241896,2.16626446284347,2.18388547319583,2.20144070687093,2.21893035924722,2.23635466476167,2.25371389260188,2.27100834286412,2.28823834308071,2.3054042450442,2.32250642199652,2.33954526601358,2.35652118571858,2.37343460411782,2.39028595674673,2.40707568988608,2.42380425904287,2.44047212751804,2.457079765113,2.47362764694695,2.49011625244452,2.5065460643856,2.5229175679991,2.53923125021455,2.55548759895646,2.57168710251678,2.58783024894128,2.60391752557035,2.61994941852944,2.63592641232842,2.65184898948288,2.66771763017511,2.68353281196004,2.69929500948503,2.71500469426127,2.73066233444478,2.74626839464524,2.7618233357701,2.77732761487696,2.79278168504435,2.80818599526948,2.82354099034671,2.83884711083628,2.85410479296009,2.86931446855879,2.88447656504685,2.89959150538258,2.9146597080401,2.92968158698486,2.94465755168353,2.95958800706589,2.97447335357574,2.98931398714401,3.00411029919988,3.01886267672314,3.03357150223977,3.04823715384066,3.06286000523773,3.077440425784,3.09197878049996,3.10647543011908,3.12093073114091,3.13534503585222,3.14971869237331,3.16405204473203,3.17834543287379,3.19259919272942,3.2068136562471,3.22098915147075,3.23512600257264,3.24922452991676,3.2632850500887,3.2773078759767,3.29129331681643,3.30524167823508,3.31915326232015,3.33302836765841,3.34686728941093,3.36067031935503
