0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
18.9877818132462,18.913552961733,18.8937269671138,18.8540538591482,18.7746603461759,18.6158035600433,18.4569618799019,18.2982337883631,18.1397131627053,17.9815345268043,17.823928159599,17.6673451225244,17.5128271684376,17.3635152476883,17.2999329408738,17.2877166693736,17.3747280371292,17.4882013900759,17.6192825427135,17.7581884921648,17.9013903319129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9333576105592,6.94048106686363,6.94068082782509,6.94000639892799,6.93609192233963,6.92428534704825,6.91261306017189,6.90474065971626,6.90377075705241,6.91344290057094,6.93927270388577,6.99077742444552,7.08792249593952,7.29319469244477,7.52675155883091,7.71571030467504,8.3472406989185,8.74163710811795,9.10460168781422,9.43843400822135,9.74956376257602
1.26585212092691,1.28722031028955,1.29282858055957,1.30415273816594,1.3274723886664,1.37736137123745,1.43234526558656,1.49352703178637,1.56243883800994,1.64131670103204,1.73365690085029,1.8455311505571,1.98953834539721,2.2047779013077,2.39275202303392,2.52272096340593,2.88316405562452,3.07466190103307,3.23674967234851,3.37679633511839,3.50106924879781
1.06206264897456,1.06363476385907,1.06400455044205,1.06470085777338,1.06593835575567,1.06782913331038,1.06897483017195,1.06940553733066,1.06914115095381,1.0681865762556,1.06652186816192,1.06407855283484,1.06066735447383,1.05560647635458,1.05150899328846,1.04890192849254,1.0426329441448,1.0398197644381,1.0376792763315,1.03598772238751,1.0345970446448
1.73094397165065e-18,0.0384934233467072,0.0514018997730708,0.0768302003276976,0.126896309309699,0.232409752843356,0.35348149960117,0.496249320502055,0.667520284893851,0.877091502560389,1.14053749281489,1.48542632951614,1.96993064476215,2.77656783433755,3.55887336075138,4.14065223364532,5.92074137403717,6.96142780009231,7.89125772270688,8.72959738679394,9.49987534391173
-2.24060737255444e-09,0.341394254545552,0.395386920777507,0.483693584343055,0.61636631037654,0.806533630411715,0.954346130672193,1.08067291045795,1.19332330479367,1.29646417197034,1.39293979169893,1.48526995243686,1.57673595283036,1.67566105018407,1.73782212919893,1.77169197975454,1.83945479513064,1.86459520632886,1.88177221040478,1.89419698403834,1.90366329758258
-1.31479005446831e-08,1.63837685367376,1.80997065743104,2.03203234308981,2.24215995945166,2.37980632530349,2.44124534295281,2.4960206421946,2.55745545670538,2.63069129125767,2.72064913804369,2.83506135948017,2.9896862363636,3.23309507318544,3.4551011753864,3.61271778670671,4.06356353623667,4.3096215241994,4.52071993491648,4.70492821929537,4.86964548291489
-2.24060737255444e-09,0.341394254545552,0.395386920777507,0.483693584343055,0.61636631037654,0.806533630411715,0.954346130672193,1.08067291045795,1.19332330479367,1.29646417197034,1.39293979169893,1.48526995243686,1.57673595283036,1.67566105018407,1.73782212919893,1.77169197975454,1.83945479513064,1.86459520632886,1.88177221040478,1.89419698403834,1.90366329758258
1.26585212092691,1.25523674537587,1.25327394449324,1.24975232206709,1.24348793048306,1.23185626527159,1.22037458535698,1.20877296680549,1.19695783508483,1.18483693379961,1.17226961465561,1.15900220016016,1.14448277483589,1.12689383208166,1.1145456010943,1.10726359812357,1.09103453555372,1.08419727086736,1.07913930762834,1.07521936927605,1.07204276140968
-9.86357788731202e-10,0.134703861794598,0.151980970568188,0.177425968223856,0.209777358190645,0.249394118970389,0.280521261182652,0.310457422906402,0.341536954685152,0.375215604787945,0.412982984912606,0.456935807883447,0.510961477980867,0.586416874992054,0.646950437217905,0.6858413578742,0.781492701850656,0.825616730998468,0.85978386959029,0.887211866191046,0.910098621533575
1.26585212085113,1.26710375642764,1.26711535340004,1.26693033400329,1.26604518211394,1.26335605277205,1.26039489299132,1.25774868633394,1.25585286897589,1.2551821420277,1.25639654180684,1.26059918603089,1.27006562013596,1.29185956261413,1.31761651158535,1.33878462782482,1.41071407424673,1.45635310562656,1.49881150875229,1.53825039524021,1.57534617923344
0,12.7040114304781,11.8049451761543,10.4780463961234,8.84360651155134,7.22889543612409,6.44238983317505,6.00369852865215,5.7554943417258,5.63280331248071,5.60776164270417,5.6738265538258,5.84712336570719,6.20748069596124,6.57823973955188,6.85368075007775,7.66898307493521,8.12280898375333,8.51467135532703,8.85783771182702,9.16535188628337
